County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County,County
King,Seattle,WA,98125,2023,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,229516416,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001100,-122.296385,47.71558
Snohomish,Arlington,WA,98223,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,39,212321406,BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,53061053506,-122.12324,48.19485
King,Seatac,WA,98148,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,219937196,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
Clark,Camas,WA,98607,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,224576369,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040610,-122.405565,45.59009
King,Sammamish,WA,98074,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,45,337352319,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032225,-122.0313266,47.6285782
Spokane,Mead,WA,99021,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,7,258830029,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063010504,-117.35761,47.76885
King,Seattle,WA,98117,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,227503671,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001702,-122.37276,47.689685
King,Seattle,WA,98106,2022,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,34,193889475,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010800,-122.356145,47.52104
Snohomish,Everett,WA,98208,2016,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,21,474241953,PUGET SOUND ENERGY INC,53061041808,-122.2247757,47.9156409
King,Bellevue,WA,98004,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,199486990,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023801,-122.201905,47.61385
Clark,Vancouver,WA,98684,2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,83,0,17,133562215,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041337,-122.51692,45.6228
King,Woodinville,WA,98072,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,26,0,45,194203775,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032307,-122.151665,47.75855
Clark,Vancouver,WA,98683,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,47,0,18,286754359,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041329,-122.4853873,45.6083347
King,Seattle,WA,98101,2014,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,43,183206306,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008101,-122.335345,47.61079
Skagit,Burlington,WA,98233,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,40,348113321,PUGET SOUND ENERGY INC,53057951600,-122.33079,48.474765
King,Seattle,WA,98105,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,227487557,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004301,-122.319115,47.66132
Pierce,Puyallup,WA,98374,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,25,213709800,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53053071210,-122.275748,47.1395924
King,Mercer Island,WA,98040,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,41,120309059,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024602,-122.2371867,47.5822997
King,Seatac,WA,98148,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,33,232829607,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
Clark,Vancouver,WA,98684,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,17,235684837,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041320,-122.51692,45.6228
Thurston,Yelm,WA,98597,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,2,150328587,PUGET SOUND ENERGY INC,53067012412,-122.61023,46.94126
Clark,Camas,WA,98607,2014,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,18,109977458,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040610,-122.405565,45.59009
Thurston,Olympia,WA,98513,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,2,244137932,PUGET SOUND ENERGY INC,53067012320,-122.817545,46.98876
King,Redmond,WA,98053,2020,TESLA,MODEL Y,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,291,0,45,128805666,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333,-122.0222,47.69557
King,Bellevue,WA,98006,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,195920532,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024901,-122.16937,47.571015
Snohomish,Mukilteo,WA,98275,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,21,200730659,PUGET SOUND ENERGY INC,53061041901,-122.29957,47.94187
King,Seattle,WA,98115,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,185956193,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003900,-122.3185,47.67949
Kitsap,Port Orchard,WA,98366,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,26,218628364,PUGET SOUND ENERGY INC,53035092200,-122.639265,47.5373
King,Seattle,WA,98101,2017,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,97,0,43,118354043,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008102,-122.335345,47.61079
King,Renton,WA,98058,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,218255173,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031910,-122.1298876,47.4451257
King,Auburn,WA,98092,2023,TOYOTA,BZ4X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,47,240539715,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031603,-122.1820969,47.3198995
King,Seattle,WA,98103,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,43,194142987,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004600,-122.34301,47.659185
King,Kent,WA,98030,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,47,254370679,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029603,-122.199755,47.37483
Clark,Vancouver,WA,98665,2019,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,47,0,49,176288339,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040809,-122.66592,45.678565
Spokane,Spokane,WA,99224,2022,RIVIAN,R1T,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,6,209700879,MODERN ELECTRIC WATER COMPANY,53063013600,-117.460225,47.64927
King,Bellevue,WA,98007,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,29,0,48,219442541,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023000,-122.147385,47.599975
King,Seattle,WA,98122,2017,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,107,0,37,177805036,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800,-122.30839,47.610365
Clark,Camas,WA,98607,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,182973276,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040609,-122.405565,45.59009
King,Seattle,WA,98103,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,43,187226042,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003500,-122.34301,47.659185
King,Sammamish,WA,98074,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,45,127454064,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318,-122.0313266,47.6285782
Clark,Vancouver,WA,98684,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,17,211833373,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041337,-122.51692,45.6228
Thurston,Olympia,WA,98506,2015,FIAT,500,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,87,0,22,350197970,PUGET SOUND ENERGY INC,53067010200,-122.8874781,47.0519573
King,Seattle,WA,98121,2018,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,249,0,36,475132136,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003,-122.344,47.615385
Clark,Vancouver,WA,98682,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,17,154068666,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011040714,-122.5146473,45.67862
King,Bellevue,WA,98005,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,41,147182164,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023604,-122.16085,47.624515
King,Issaquah,WA,98029,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,5,137479716,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220,-121.999595,47.547635
Snohomish,Lynnwood,WA,98087,2022,NISSAN,LEAF,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,21,200682471,PUGET SOUND ENERGY INC,53061042004,-122.2559465,47.8656788
King,Seattle,WA,98103,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,43,211888085,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004902,-122.34301,47.659185
Clark,Vancouver,WA,98660,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,49,216569685,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042100,-122.675975,45.630465
King,Redmond,WA,98052,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,185661766,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321,-122.12302,47.67668
King,Bellevue,WA,98004,2021,PORSCHE,TAYCAN,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,192,0,48,179412299,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024002,-122.201905,47.61385
King,Bellevue,WA,98005,2023,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,225964511,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023701,-122.16085,47.624515
King,Normandy Park,WA,98166,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,33,209909542,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028600,-122.34102,47.46593
Island,Oak Harbor,WA,98277,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,10,220832489,PUGET SOUND ENERGY INC,53029970900,-122.6788673,48.2897314
King,Bellevue,WA,98006,2023,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,225869822,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024904,-122.16937,47.571015
Snohomish,Lynnwood,WA,98036,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,185438760,PUGET SOUND ENERGY INC,53061051916,-122.316675,47.819365
King,Bellevue,WA,98006,2023,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,41,219128843,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905,-122.16937,47.571015
King,Renton,WA,98055,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,33,0,11,244136308,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025806,-122.197,47.43876
King,Bellevue,WA,98005,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,19,0,48,266918942,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603,-122.16085,47.624515
Snohomish,Edmonds,WA,98020,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,21,224532598,PUGET SOUND ENERGY INC,53061050502,-122.37507,47.80807
King,Renton,WA,98059,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,221291528,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025103,-122.15734,47.487175
Island,Coupeville,WA,98239,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,10,168660894,PUGET SOUND ENERGY INC,53029971000,-122.681275,48.21784
Spokane,Mica,WA,99023,2014,BMW,I3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,81,0,9,476760630,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063012402,-117.212705,47.550885
King,Des Moines,WA,98198,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,221442476,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029003,-122.3219166,47.4013897
King,Medina,WA,98039,2023,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,48,227256123,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033024200,-122.228025,47.61598
King,Bellevue,WA,98004,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,210019127,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902,-122.201905,47.61385
King,Seattle,WA,98117,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,224179784,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003302,-122.37276,47.689685
Kittitas,Cle Elum,WA,98922,2021,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,13,170537237,PUGET SOUND ENERGY INC,53037975101,-120.938295,47.19538
Clark,Vancouver,WA,98684,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,6,0,17,256401631,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041317,-122.51692,45.6228
King,Kent,WA,98030,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,266,0,47,8807690,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029505,-122.199755,47.37483
Clark,Vancouver,WA,98683,2015,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,84,0,17,111575887,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041323,-122.4853873,45.6083347
King,Bellevue,WA,98006,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,228658573,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024904,-122.16937,47.571015
King,Des Moines,WA,98198,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,148240480,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029001,-122.3219166,47.4013897
King,Sammamish,WA,98075,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,41,477383581,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032224,-122.03309,47.58153
King,Issaquah,WA,98027,2022,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,41,211794481,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007,-122.03644,47.53374
King,Bellevue,WA,98006,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,41,157615384,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023902,-122.16937,47.571015
King,Seattle,WA,98104,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,259,0,37,179408449,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008500,-122.329075,47.6018
King,Seattle,WA,98177,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,36,162835032,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400,-122.382425,47.77279
King,Seattle,WA,98108,2019,KIA,NIRO,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,239,0,37,103306759,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010401,-122.3268963,47.5499519
Clark,Vancouver,WA,98683,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,18,102864226,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041328,-122.4853873,45.6083347
Thurston,Olympia,WA,98506,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,22,294466007,PUGET SOUND ENERGY INC,53067010200,-122.8874781,47.0519573
King,Seattle,WA,98115,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,228873571,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000,-122.3185,47.67949
Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,1,476308094,PUGET SOUND ENERGY INC,53061051932,-122.179458,47.802589
Snohomish,Lake Stevens,WA,98258,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,53,0,44,158945265,PUGET SOUND ENERGY INC,53061052506,-122.112065,48.004345
King,Kirkland,WA,98033,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,186212673,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022502,-122.20264,47.6785
Thurston,Olympia,WA,98503,2014,BMW,I3,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,72,0,2,141237841,PUGET SOUND ENERGY INC,53067011628,-122.8285,47.03646
King,Seattle,WA,98103,2023,AUDI,Q4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,46,236633134,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002700,-122.34301,47.659185
King,Seattle,WA,98177,2022,BMW,I4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,32,213430192,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000500,-122.382425,47.77279
Okanogan,Winthrop,WA,98862,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,12,36900,12,278803486,"OKANOGAN COUNTY ELEC COOP, INC",53047971000,-120.1782425,48.4744302
King,Kirkland,WA,98034,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,233962879,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022006,-122.209285,47.71124
Mason,Shelton,WA,98584,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,35,257050825,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045961101,-123.105305,47.211085
King,Tukwila,WA,98188,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,238768904,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
King,Redmond,WA,98052,2023,TESLA,MODEL X,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,223630501,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321,-122.12302,47.67668
King,Seattle,WA,98116,2016,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,34,227333368,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009600,-122.38816,47.56567
King,Kirkland,WA,98033,2012,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,73,0,45,258649240,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022402,-122.20264,47.6785
King,Renton,WA,98059,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,233497288,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602,-122.15734,47.487175
King,Tukwila,WA,98188,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,11,240026300,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
Thurston,Rochester,WA,98579,2020,NISSAN,LEAF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,215,0,35,232713351,PUGET SOUND ENERGY INC,53067012720,-123.09575,46.82114
Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,322,0,21,4944530,PUGET SOUND ENERGY INC,53061041704,-122.1873,47.820245
King,Sammamish,WA,98075,2019,AUDI,E-TRON,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,204,0,41,10008176,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032215,-122.03309,47.58153
Clark,Camas,WA,98607,2022,HYUNDAI,IONIQ 5,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,18,195995082,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041500,-122.405565,45.59009
King,Redmond,WA,98052,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,45,182663512,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032326,-122.12302,47.67668
King,Bothell,WA,98011,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,1,1519234,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021905,-122.20578,47.762405
King,Woodinville,WA,98072,2021,BMW,X3,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,17,0,45,181321556,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032319,-122.151665,47.75855
Clark,Vancouver,WA,98661,2019,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,220,0,49,183408326,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011042602,-122.641835,45.638545
King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,11,228968988,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
King,Renton,WA,98056,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,41,209309320,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025201,-122.180505,47.500055
Snohomish,Lynnwood,WA,98087,2023,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,21,225832141,PUGET SOUND ENERGY INC,53061041816,-122.2559465,47.8656788
King,Enumclaw,WA,98022,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,38,0,31,132321465,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031301,-121.98953,47.20347
King,Kirkland,WA,98034,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,1,211168289,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300,-122.209285,47.71124
Skagit,Mount Vernon,WA,98274,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,238,0,10,250701013,PUGET SOUND ENERGY INC,53057952700,-122.322955,48.4152
King,Seatac,WA,98148,2022,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,33,209771019,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028500,-122.32806,47.46155
King,Bellevue,WA,98006,2017,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,210,0,41,192942347,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033024905,-122.16937,47.571015
King,Seattle,WA,98121,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,193714020,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008003,-122.344,47.615385
Snohomish,Mountlake Terrace,WA,98043,2023,BMW,X5,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,30,0,32,218991930,PUGET SOUND ENERGY INC,53061051000,-122.30842,47.78416
